Sheath MFC,Sheath Pressure,Pneum. Atomizer MFC,Pneum. Atomizer Press.,Pneum. Impactor Exhaust MFC,Pneum. Impactor Exhaust Press.,Platen Heater,Ink,Ink_temp,Substrate,Print_speed,SPC,Viscosity,Surface Tension,Density,Line,Output
9.184,0.145,819.736,6.044,793.356,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.147,819.736,6.081,794.333,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.184,0.148,818.759,6.081,795.31,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.159,819.736,6.066,795.31,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.184,0.16,819.736,6.081,795.31,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.161,819.736,6.117,793.356,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.354,948.705,7.795,894.968,0.0,70.5,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.091,1
9.282,0.357,948.705,7.81,893.991,0.0,70.2,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.091,1
9.282,0.36,949.682,7.81,894.968,0.0,70.2,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.091,1
9.282,0.369,1000.489,8.637,944.797,0.0,70.2,Tungsten,29.9,LTCC,1,60.0,275,29.0,2.4,0.091,1
9.282,0.371,1000.489,8.637,943.82,0.0,70.5,Tungsten,29.9,LTCC,1,60.0,275,29.0,2.4,0.091,1
9.184,0.371,1000.489,8.681,943.82,0.0,70.5,Tungsten,29.9,LTCC,1,60.0,275,29.0,2.4,0.091,1
9.282,0.375,1000.489,8.689,942.843,0.0,70.2,Tungsten,29.9,LTCC,1,60.0,275,29.0,2.4,0.091,1
9.282,0.173,970.2,8.139,943.82,0.0,70.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.059,1
9.282,0.176,970.2,8.161,944.797,0.0,70.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.059,1
9.184,0.173,970.2,8.147,943.82,0.0,70.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.059,1
9.184,0.171,970.2,8.132,944.797,0.0,70.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.059,1
9.282,0.173,969.223,8.132,943.82,0.0,69.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.059,1
89.692,0.652,1148.999,10.85,1093.307,0.0,69.8,Tungsten,31.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.184,145.579,1.861,94.773,1.129,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.186,145.579,1.861,93.796,1.129,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.851,116.268,1.333,94.773,0.8,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.853,116.268,1.333,93.796,0.8,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.184,196.385,1.993,144.602,1.079,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.184,196.385,2.007,145.579,1.077,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.184,195.408,2.007,145.579,1.079,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.181,195.408,2.007,144.602,1.077,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.849,213.972,1.612,194.431,0.707,69.5,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.85,214.949,1.604,195.408,0.707,69.5,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.849,214.949,1.604,196.385,0.705,70.5,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
